key	en	ru	pt-BR	es-419	de	fr	tr	id	pl	it
settings.title	SETTINGS	НАСТРОЙКИ	CONFIGURAÇÕES	AJUSTES	EINSTELLUNGEN	PARAMÈTRES	AYARLAR	PENGATURAN	USTAWIENIA	IMPOSTAZIONI
settings.music	Music	Музыка	Música	Música	Musik	Musique	Müzik	Musik	Muzyka	Musica
settings.sound	Sound	Звуки	Som	Sonido	Sound	Son	Ses	Suara	Dźwięk	Audio
settings.damage	Damage	Числа урона	Números de dano	Números de daño	Schadenszahlen	Dégâts affichés	Hasar sayıları	Angka kerusakan	Liczby obrażeń	Numeri danno
settings.promo	Write promo	Промокод	Inserir código	Introducir código	Code eingeben	Saisir un code	Kod gir	Masukkan kode	Wpisz kod	Inserisci codice
settings.join	Join	Вступить	Entrar	Unirse	Beitreten	Rejoindre	Katıl	Gabung	Dołącz	Unisciti
settings.feedback	Found a bug or have an idea for the game:	Нашли ошибку или есть идея для игры:	Encontrou um bug ou tem uma ideia para o jogo:	¿Encontraste un error o tienes una idea para el juego?	Du hast einen Fehler gefunden oder eine Idee für das Spiel:	Vous avez trouvé un bug ou avez une idée pour le jeu :	Bir hata mı buldun veya oyun için bir fikrin mi var:	Menemukan bug atau punya ide untuk game ini:	Znalazłeś błąd lub masz pomysł na grę:	Hai trovato un bug o hai un'idea per il gioco:
settings.language	Language	Язык	Idioma	Idioma	Sprache	Langue	Dil	Bahasa	Język	Lingua
settings.language.english	English	English	English	English	English	English	English	English	English	English
settings.language.russian	Russian	Русский	Русский	Русский	Русский	Русский	Русский	Русский	Русский	Русский
settings.language.portuguese_brazil	Portuguese (Brazil)	Португальский (Бразилия)	Português (Brasil)	Português (Brasil)	Português (Brasil)	Português (Brasil)	Português (Brasil)	Português (Brasil)	Português (Brasil)	Português (Brasil)
settings.language.spanish_latin_america	Spanish (Latin America)	Испанский (Латинская Америка)	Español (Latinoamérica)	Español (Latinoamérica)	Español (Latinoamérica)	Español (Latinoamérica)	Español (Latinoamérica)	Español (Latinoamérica)	Español (Latinoamérica)	Español (Latinoamérica)
settings.language.german	German	Немецкий	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch
settings.language.french	French	Французский	Français	Français	Français	Français	Français	Français	Français	Français
settings.language.turkish	Turkish	Турецкий	Türkçe	Türkçe	Türkçe	Türkçe	Türkçe	Türkçe	Türkçe	Türkçe
settings.language.indonesian	Indonesian	Индонезийский	Bahasa Indonesia	Bahasa Indonesia	Bahasa Indonesia	Bahasa Indonesia	Bahasa Indonesia	Bahasa Indonesia	Bahasa Indonesia	Bahasa Indonesia
settings.language.polish	Polish	Польский	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski
settings.language.italian	Italian	Итальянский	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano
settings.google_play	Open google play	Открыть Google Play	Abrir o Google Play	Abrir Google Play	Google Play öffnen	Ouvrir Google Play	Google Play'i aç	Buka Google Play	Otwórz Google Play	Apri Google Play
town.armory	ARMORY	АРСЕНАЛ	ARSENAL	ARSENAL	WAFFENKAMMER	ARSENAL	CEPHANELİK	GUDANG SENJATA	ZBROJOWNIA	ARMERIA
town.fight_club	FIGHT CLUB	БОЙЦОВСКИЙ КЛУБ	CLUBE DA LUTA	CLUB DE LUCHA	KAMPFCLUB	CLUB DE COMBAT	DÖVÜŞ KULÜBÜ	KLUB TARUNG	KLUB WALKI	CLUB DI LOTTA
town.portal	PORTAL	ПОРТАЛ	PORTAL	PORTAL	PORTAL	PORTAIL	PORTAL	PORTAL	PORTAL	PORTALE
town.foundry	FOUNDRY	ЛИТЕЙНАЯ	FUNDIÇÃO	FUNDICIÓN	GIESSEREI	FONDERIE	DÖKÜMHANE	PELEBURAN	ODLEWNIA	FONDERIA
town.tavern	TAVERN	ТАВЕРНА	TAVERNA	TABERNA	TAVERNE	TAVERNE	MEYHANE	KEDAI	KARCZMA	TAVERNA
town.tower	TOWER	БАШНЯ	TORRE	TORRE	TURM	TOUR	KULE	MENARA	WIEŻA	TORRE
