"locale","app_name","short_description","full_description"
"en-US","Tower Survival: Idle Defense","Defend one tower, survive enemy waves and forge permanent pixel RPG upgrades.","One tower. Endless enemies. Every upgrade matters.

Tower Survival is a pixel idle tower defense game with roguelite progression. Your tower targets enemies automatically while you shape its build, adapt your strategy, and prepare for increasingly dangerous waves.

Choose how your tower fights. Increase attack damage and speed, extend its range, hit more targets, unlock multishot, strengthen its health, or add regeneration. Adapt your build to tanks, ranged attackers, explosive enemies, and ever-growing hordes.

Each run makes you stronger. Gather ore, invest in permanent upgrades, unlock tougher tiers, and return with a better strategy. The longer you survive, the more dangerous and rewarding the defense becomes.

FEATURES

• Pixel-art tower defense battles
• Automatic combat with strategic upgrade choices
• Enemies attacking from every direction
• Temporary upgrades that shape every run
• Permanent tower progression between battles
• Damage, attack speed, range, multishot, health, and regeneration builds
• Several enemy types with different attack styles
• Increasing difficulty tiers and survival records
• Day and night atmosphere
• Single-player strategy gameplay
• Core battles playable offline

Build your tower, test a new upgrade path, and see how long you can hold the line."
"ru-RU","Tower Survival: Защита башни","Защищай башню, переживай волны врагов и открывай постоянные улучшения.","Одна башня. Бесконечные враги. Каждое улучшение имеет значение.

Tower Survival — пиксельная игра про защиту башни с элементами рогалика. Враги наступают со всех сторон, а тебе предстоит переживать всё более опасные волны, получать опыт и собирать собственный боевой билд.

Решай, как будет сражаться башня. Увеличивай урон и скорость атаки, расширяй дальность, поражай больше целей, открывай мультивыстрел, укрепляй здоровье или добавляй регенерацию. Меняй тактику против танков, стрелков, подрывников и растущих орд врагов.

Каждый забег делает тебя сильнее. Собирай руду, покупай постоянные улучшения, открывай сложные тиры и возвращайся в бой с новой стратегией. Чем дольше держится башня, тем опаснее противники и ценнее награда.

ОСОБЕННОСТИ

• Пиксельные сражения в жанре защиты башни
• Атаки врагов со всех направлений
• Временные улучшения, меняющие каждый забег
• Постоянное развитие башни между боями
• Билды через урон, скорость, дальность, мультивыстрел, здоровье и регенерацию
• Несколько типов врагов с разными атаками
• Уровни сложности и рекорды выживания
• Смена дня и ночи
• Одиночная стратегическая игра
• Основные сражения доступны без интернета

Построй свой билд, испытай новую тактику и узнай, как долго продержится твоя башня."
"pt-BR","Tower Survival: Defesa Idle","Defenda uma torre, sobreviva às ondas e desbloqueie melhorias permanentes.","Uma torre. Inimigos sem fim. Cada melhoria importa.

Tower Survival é um jogo pixel art de defesa de torre idle com progressão roguelite. A torre ataca automaticamente enquanto você escolhe a estratégia, monta seu conjunto de melhorias e se prepara para ondas cada vez mais perigosas.

Decida como sua torre vai lutar. Aumente o dano e a velocidade de ataque, amplie o alcance, acerte mais alvos, libere o multitiro, fortaleça a vida ou adicione regeneração. Adapte sua defesa contra inimigos pesados, arqueiros, bombardeiros e hordas que não param de crescer.

Cada partida deixa você mais forte. Colete minério, invista em melhorias permanentes, desbloqueie níveis mais difíceis e volte para a batalha com uma nova estratégia. Quanto mais tempo você sobreviver, maiores serão o perigo e a recompensa.

RECURSOS

• Batalhas de defesa de torre em pixel art
• Combate automático com escolhas estratégicas
• Inimigos atacando de todas as direções
• Melhorias temporárias que transformam cada partida
• Progressão permanente entre as batalhas
• Conjuntos de dano, velocidade, alcance, multitiro, vida e regeneração
• Vários tipos de inimigos e ataques
• Níveis de dificuldade e recordes de sobrevivência
• Atmosfera de dia e noite
• Estratégia para um jogador
• Batalhas principais disponíveis offline

Monte sua defesa, teste novas melhorias e descubra por quanto tempo sua torre consegue resistir."
"es-419","Tower Survival: Defensa Idle","Defiende una torre, sobrevive a las oleadas y desbloquea mejoras permanentes.","Una torre. Enemigos sin fin. Cada mejora importa.

Tower Survival es un juego pixel art de defensa de torres idle con progresión roguelite. La torre ataca automáticamente mientras tú eliges su estrategia, creas una combinación de mejoras y te preparas para oleadas cada vez más peligrosas.

Decide cómo luchará tu torre. Aumenta el daño y la velocidad de ataque, amplía el alcance, golpea más objetivos, desbloquea el multidisparo, fortalece la salud o añade regeneración. Adapta tu defensa contra enemigos pesados, arqueros, demoledores y hordas que crecen sin parar.

Cada partida te hace más fuerte. Reúne mineral, invierte en mejoras permanentes, desbloquea niveles más difíciles y regresa a la batalla con una nueva estrategia. Cuanto más tiempo sobrevivas, mayores serán el peligro y la recompensa.

CARACTERÍSTICAS

• Batallas de defensa de torres en pixel art
• Combate automático con decisiones estratégicas
• Enemigos que atacan desde todas las direcciones
• Mejoras temporales que cambian cada partida
• Progresión permanente entre batallas
• Estrategias de daño, velocidad, alcance, multidisparo, salud y regeneración
• Varios tipos de enemigos con ataques diferentes
• Niveles de dificultad y récords de supervivencia
• Ambiente de día y noche
• Estrategia para un jugador
• Batallas principales disponibles sin conexión

Crea tu defensa, prueba una nueva combinación y descubre cuánto tiempo puede resistir tu torre."
"de-DE","Tower Survival: Idle-Abwehr","Verteidige den Turm, überlebe Wellen und schalte permanente Upgrades frei.","Ein Turm. Endlose Gegner. Jedes Upgrade zählt.

Tower Survival ist eine Pixel-Art-Turmverteidigung mit Idle-Kämpfen und Roguelite-Fortschritt. Dein Turm greift automatisch an, während du seine Strategie bestimmst, einen starken Build zusammenstellst und dich auf immer gefährlichere Wellen vorbereitest.

Entscheide, wie dein Turm kämpft. Erhöhe Schaden und Angriffstempo, vergrößere die Reichweite, triff mehr Ziele, schalte Mehrfachschüsse frei, stärke die Lebenspunkte oder ergänze Regeneration. Passe deine Verteidigung an schwere Gegner, Fernkämpfer, Sprengmeister und stetig wachsende Horden an.

Jeder Durchlauf macht dich stärker. Sammle Erz, investiere in permanente Verbesserungen, schalte schwierigere Stufen frei und kehre mit einer neuen Strategie zurück. Je länger du überlebst, desto größer werden Gefahr und Belohnung.

FEATURES

• Pixel-Art-Kämpfe zur Turmverteidigung
• Automatische Kämpfe mit strategischen Entscheidungen
• Angriffe aus allen Richtungen
• Temporäre Upgrades für jeden Durchlauf
• Permanenter Fortschritt zwischen den Kämpfen
• Builds für Schaden, Tempo, Reichweite, Mehrfachschuss, Leben und Regeneration
• Verschiedene Gegnertypen und Angriffe
• Steigende Schwierigkeitsstufen und Überlebensrekorde
• Tag-und-Nacht-Atmosphäre
• Einzelspieler-Strategie
• Hauptkämpfe offline spielbar

Baue deine Verteidigung aus, teste neue Upgrades und finde heraus, wie lange dein Turm standhält."
"fr-FR","Tower Survival : Défense Idle","Défendez la tour, survivez aux vagues et débloquez des améliorations durables.","Une tour. Des ennemis sans fin. Chaque amélioration compte.

Tower Survival est un jeu de défense de tour en pixel art avec combats idle et progression roguelite. Votre tour attaque automatiquement pendant que vous choisissez sa stratégie, façonnez son build et vous préparez à des vagues toujours plus dangereuses.

Décidez comment votre tour combat. Augmentez ses dégâts et sa vitesse d'attaque, étendez sa portée, touchez plus de cibles, débloquez le tir multiple, renforcez sa santé ou ajoutez de la régénération. Adaptez votre défense aux ennemis lourds, archers, démolisseurs et hordes grandissantes.

Chaque partie vous rend plus fort. Collectez du minerai, investissez dans des améliorations permanentes, débloquez des paliers plus difficiles et revenez avec une nouvelle stratégie. Plus vous survivez longtemps, plus le danger et les récompenses augmentent.

CARACTÉRISTIQUES

• Combats de défense de tour en pixel art
• Combat automatique et choix stratégiques
• Ennemis attaquant de toutes les directions
• Améliorations temporaires pour chaque partie
• Progression permanente entre les combats
• Builds de dégâts, vitesse, portée, tir multiple, santé et régénération
• Plusieurs types d'ennemis aux attaques différentes
• Difficulté croissante et records de survie
• Ambiance de jour et de nuit
• Stratégie en solo
• Combats principaux jouables hors ligne

Construisez votre défense, testez de nouvelles améliorations et découvrez combien de temps votre tour résistera."
"tr-TR","Tower Survival: Boşta Savunma","Kuleyi savun, düşman dalgalarına dayan ve kalıcı geliştirmeler aç.","Tek kule. Sonsuz düşman. Her geliştirme önemli.

Tower Survival; boşta savaşlar ve roguelite ilerleme sunan piksel bir kule savunma oyunudur. Kulen otomatik saldırırken stratejisini sen belirlersin, güçlü bir dizilim kurarsın ve giderek tehlikeli hâle gelen dalgalara hazırlanırsın.

Kulenin nasıl savaşacağına karar ver. Saldırı hasarını ve hızını artır, menzilini genişlet, daha fazla hedef vur, çoklu atışı aç, sağlığını güçlendir veya yenilenme ekle. Savunmanı ağır düşmanlara, okçulara, bombacılara ve büyüyen ordulara göre değiştir.

Her koşu seni daha güçlü yapar. Maden topla, kalıcı geliştirmelere yatırım yap, daha zor aşamaları aç ve yeni bir stratejiyle savaşa dön. Ne kadar uzun dayanırsan tehlike ve ödüller o kadar büyür.

ÖZELLİKLER

• Piksel kule savunma savaşları
• Stratejik seçimlerle otomatik savaş
• Her yönden saldıran düşmanlar
• Her koşuyu değiştiren geçici geliştirmeler
• Savaşlar arasında kalıcı kule ilerlemesi
• Hasar, hız, menzil, çoklu atış, sağlık ve yenilenme dizilimleri
• Farklı saldırılara sahip düşman türleri
• Artan zorluk aşamaları ve hayatta kalma rekorları
• Gece ve gündüz atmosferi
• Tek oyunculu strateji
• Ana savaşlar çevrimdışı oynanabilir

Savunmanı kur, yeni geliştirmeler dene ve kulenin ne kadar dayanabileceğini gör."
"id","Tower Survival: Tower Defense","Pertahankan menara, hadapi gelombang musuh, dan buka peningkatan permanen.","Satu menara. Musuh tanpa akhir. Setiap peningkatan berarti.

Tower Survival adalah game tower defense pixel dengan pertarungan idle dan progres roguelite. Menaramu menyerang secara otomatis, sementara kamu menentukan strategi, menyusun build, dan bersiap menghadapi gelombang yang semakin berbahaya.

Tentukan cara menaramu bertarung. Tingkatkan damage dan kecepatan serangan, perluas jangkauan, serang lebih banyak target, buka multitembak, perkuat nyawa, atau tambahkan regenerasi. Sesuaikan pertahananmu untuk menghadapi musuh berat, pemanah, pengebom, dan gerombolan yang terus membesar.

Setiap permainan membuatmu lebih kuat. Kumpulkan mineral, beli peningkatan permanen, buka tingkat yang lebih sulit, dan kembali dengan strategi baru. Semakin lama kamu bertahan, semakin besar bahaya dan hadiahnya.

FITUR

• Pertarungan tower defense bergaya pixel art
• Pertarungan otomatis dengan pilihan strategis
• Musuh menyerang dari segala arah
• Peningkatan sementara yang mengubah setiap permainan
• Progres menara permanen di antara pertempuran
• Build damage, kecepatan, jangkauan, multitembak, nyawa, dan regenerasi
• Beragam jenis musuh dengan serangan berbeda
• Tingkat kesulitan dan rekor bertahan hidup
• Suasana siang dan malam
• Strategi pemain tunggal
• Pertarungan utama dapat dimainkan offline

Bangun pertahananmu, coba peningkatan baru, dan lihat berapa lama menaramu mampu bertahan."
"pl-PL","Tower Survival: Obrona Wieży","Broń wieży, przetrwaj fale wrogów i odblokuj stałe ulepszenia.","Jedna wieża. Nieskończeni wrogowie. Każde ulepszenie ma znaczenie.

Tower Survival to pikselowa gra typu tower defense z automatyczną walką i rozwojem roguelite. Wieża atakuje samodzielnie, a ty wybierasz strategię, tworzysz skuteczny build i przygotowujesz się na coraz groźniejsze fale.

Zdecyduj, jak będzie walczyć twoja wieża. Zwiększaj obrażenia i szybkość ataku, rozszerzaj zasięg, trafiaj więcej celów, odblokuj wielostrzał, wzmacniaj zdrowie lub dodaj regenerację. Dostosuj obronę do ciężkich wrogów, łuczników, bomb i stale rosnących hord.

Każda rozgrywka czyni cię silniejszym. Zbieraj rudę, inwestuj w stałe ulepszenia, odblokowuj trudniejsze poziomy i wracaj do walki z nową strategią. Im dłużej przetrwasz, tym większe będą zagrożenie i nagrody.

NAJWAŻNIEJSZE CECHY

• Pikselowe bitwy w stylu tower defense
• Automatyczna walka i strategiczne wybory
• Wrogowie atakujący ze wszystkich stron
• Tymczasowe ulepszenia zmieniające każdą rozgrywkę
• Stały rozwój wieży pomiędzy bitwami
• Buildy obrażeń, szybkości, zasięgu, wielostrzału, zdrowia i regeneracji
• Różne typy wrogów i ataków
• Rosnący poziom trudności i rekordy przetrwania
• Atmosfera dnia i nocy
• Strategia dla jednego gracza
• Główne bitwy dostępne offline

Rozbuduj obronę, wypróbuj nowe ulepszenia i sprawdź, jak długo wytrzyma twoja wieża."
"it-IT","Tower Survival: Difesa Idle","Difendi la torre, sopravvivi alle ondate e sblocca potenziamenti permanenti.","Una torre. Nemici infiniti. Ogni potenziamento conta.

Tower Survival è un gioco pixel art di difesa della torre con combattimenti idle e progressione roguelite. La torre attacca automaticamente mentre tu ne definisci la strategia, crei una build efficace e ti prepari ad affrontare ondate sempre più pericolose.

Decidi come combatterà la tua torre. Aumenta i danni e la velocità d'attacco, amplia la gittata, colpisci più bersagli, sblocca il colpo multiplo, potenzia la salute o aggiungi rigenerazione. Adatta la difesa a nemici pesanti, arcieri, demolitori e orde in continua crescita.

Ogni partita ti rende più forte. Raccogli minerale, investi in potenziamenti permanenti, sblocca livelli più difficili e torna in battaglia con una nuova strategia. Più a lungo sopravvivi, maggiori diventano il pericolo e le ricompense.

CARATTERISTICHE

• Battaglie di difesa della torre in pixel art
• Combattimento automatico con scelte strategiche
• Nemici che attaccano da ogni direzione
• Potenziamenti temporanei che cambiano ogni partita
• Progressione permanente tra le battaglie
• Build di danni, velocità, gittata, colpo multiplo, salute e rigenerazione
• Diversi tipi di nemici con attacchi differenti
• Difficoltà crescente e record di sopravvivenza
• Atmosfera diurna e notturna
• Strategia per giocatore singolo
• Battaglie principali giocabili offline

Costruisci la tua difesa, prova nuovi potenziamenti e scopri quanto a lungo può resistere la tua torre."
